sentence,target,polarity
Here is his floor speech running through the series of events and actions that led the Senate to this point.,his,4.0
"He correctly lays the blame squarely on the shoulders of Democrats and announces his backing of the nuclear 'Reid Rule' in retaliation: Before the deed is done, I'll leave you with one final insulting lie from Chuck Schumer, whose party has acted in bad faith on these questions for many years: Schumer: My colleagues came into this with an open mind about confirming Gorsuch.",Schumer,2.0
"He correctly lays the blame squarely on the shoulders of Democrats and announces his backing of the nuclear 'Reid Rule' in retaliation: Before the deed is done, I'll leave you with one final insulting lie from Chuck Schumer, whose party has acted in bad faith on these questions for many years: Schumer: My colleagues came into this with an open mind about confirming Gorsuch.",He,6.0
“Devin Nunes has earned my trust over many years for his integrity and dedication to the critical work that the intelligence community does to keep America safe.,Devin Nunes,6.0
"The Susan Rice situation is murky, but one thing that’s crystal clear is that she’s changing her story.",Susan Rice,2.0
"Anchor Don Lemon told viewers “we will not insult your intelligence” by suggesting the Trump team was spied on illegally, “nor will we aid and abet the people who are trying to misinform you, the American people, by creating a diversion.”",we,6.0
"When Rice was asked about this by PBS’s Judy Woodruff a couple of weeks ago, the former national security adviser said she knew nothing about it and was just learning about it from news reports.",Rice,2.0
"When Rice was asked about this by PBS’s Judy Woodruff a couple of weeks ago, the former national security adviser said she knew nothing about it and was just learning about it from news reports.",it,4.0
"Now, conservatives are accusing Rice of actively undermining him — by misusing her authority to sabotage Flynn, who was out of the job in less than a month.",Rice,2.0
"Rand Paul called for Rice to testify under oath, speculating that Obama might have ordered her to unmask Trump officials for unspecified nefarious purposes.",Obama,2.0
"So who’s right — Trump and his allies, or Rice?",Rice,4.0
"In March, for example, former Obama aide Evelyn Farkas said in an MSNBC interview that team Obama attempted to preserve as much information on Trump-Russia ties as they could before leaving office, as they were worried Trump would delete them.",former Obama aide Evelyn Farkas,4.0
The Rice reports sound even more troubling than the Farkas stuff — Obama officials manipulating classified information!,Farkas,2.0
"Jeff Merkley (D-OR) headed to the Senate floor to start talking about why he was opposed to the nomination of Neil Gorsuch to the Supreme Court ""for as long as I am able.""",Neil Gorsuch,2.0
"He has enough stamina, and enough material, that he's still going strong more than 13 hours later.",He,6.0
McConnell: We Have the Votes to Bust Filibuster on Gorsuch for Supreme Court,McConnell,4.0
"Gorsuch now counts 55 supporters in the Senate: the 52 Republicans including McConnell, along with three moderate Democrats from states that President Donald Trump won last November — Joe Manchin of West Virginia, Heidi Heitkamp of North Dakota and Joe Donnelly of Indiana.",Gorsuch,6.0
"Russia’s international news agency RIA Novosti reports the Russian President Vladimir Putin has been alerted to the explosion, which the agency calls an “attack”.",the Russian President Vladimir Putin,4.0
He said it was “too early to say” what caused the blast but that it could be “criminal or terrorist”.,He,4.0
McConnell said Sunday that Gorsuch “deserves to be confirmed” and “will ultimately be confirmed.”,Gorsuch,6.0
Some argue that Flynn's discussion of sanctions with Sergey Kislyak before Trump's inauguration may have broken an old law that prohibits unauthorized citizens from negotiating with foreign powers in disputes with the United States.,Trump,2.0
"More from the Journal: It wasn’t clear if Mr. Flynn had offered to talk about specific aspects of his time working for Mr. Trump, but the fact that he was seeking immunity suggested Mr. Flynn feels he may be in legal jeopardy following his brief stint as the national security adviser, one official said… Mr. Flynn’s communications with the Russian ambassador, Sergei Kislyak, have been scrutinized by the FBI, which is examining whether Trump campaign personnel colluded with Russian officials who are alleged to have interfered with the presidential election, according to current and former U.S. officials.",Mr. Flynn,2.0
Senate Minority Leader Chuck Schumer called on House Speaker Paul Ryan to replace Nunes after news broke that the California House Republican visited the White House to view sensitive material related to Obama era surveillance of the Trump transition team one day before he discussed the topic with reporters last week.,Nunes,2.0
"Nunes, whose committee is investigating Russia’s interference in the 2016 presidential election, told reporters last Wednesday that he had information that showed Trump and his aides may have been swept up in surveillance of foreign government officials by US spy agencies.",he,4.0
He was criticized for taking the unusual step of bypassing members of his House committee before briefing Trump on the information and for the timing of the announcement.,He,2.0
He was criticized for taking the unusual step of bypassing members of his House committee before briefing Trump on the information and for the timing of the announcement.,his House committee,4.0
"Nunes met the source on White House grounds in order to view sensitive information in a “secure location,” Jack Langer, Nunes’ communications director, said Monday in a statement, CNN first reported.",Nunes,4.0
"We’ve got a very, very bold and robust agenda, and the president promised to the American people we’re going to roll on,” he said.",We,6.0
Former prosecutor Jeanine Pirro opened her Fox News show Saturday by calling for Paul Ryan (R-Wis.) to step down as Speaker of the House — hours after President Donald Trump posted a tweet telling his followers to tune in.,Paul Ryan (R-Wis.),2.0
"May underscored that the attack targeted ""free people everywhere,"" and she said she had a response: ""You will not defeat us.""",the attack,2.0
"May underscored that the attack targeted ""free people everywhere,"" and she said she had a response: ""You will not defeat us.""",May,6.0
"He had a range of previous convictions for assaults, including grievous bodily harm, possession of offensive weapons and public order offenses dating from November 1983 to December 2003, police said.",He,2.0
"""He had something in his hand, it looked like a stick of some sort, and he was challenged by a couple of policemen in yellow jackets,"" Letts told the BBC.",""" Letts",4.0
"“Let’s have open debates, not threats,” he tweeted.",he,6.0
Some even thought MSNBC host Rachel Maddow’s apparent scoop on Trump’s leaked 2005 tax return made him look good.,Rachel Maddow,4.0
"Donald Trump Jr. seized on the report minutes after the show ended, tweeting, “Thank you Rachel Maddow for proving to your #Trump hating followers how successful @realDonaldTrump is $ that he paid $44mm in taxes!”",Rachel Maddow,2.0
"The ""Legal Insurrection"" website mocked Maddow with the headline ""Rachel Maddow's career committed suicide live on national TV tonight.""",Maddow,2.0
"John McCain to either provide evidence of President Trump’s wiretapping claims or retract the allegation, saying the White House will wait until congressional committees release their own findings.",Trump,2.0
"On NBC’s “Today,” Conway repeatedly tried to move away from the subject, when asked why Trump continues to make unfounded claims and spread conspiracy theories, such as his infamous suggestion that Obama was not born in the United States.",Trump,2.0
Now-fired Preet Bharara boasts of 'absolute independence',Bharara,2.0
"Several hours later, it was learned President Donald Trump had reached out through a secretary on his staff to Bharara on Thursday but the two men never spoke.",Bharara,4.0
Bharara is charged with overseeing prosecutions against Wall Street and has brought down multiple high profile New York elected officials on corruption charges while in office.,Bharara,6.0
And it is no secret that the senator wanted him to remain in his post as U.S. Attorney during the Trump administration.,the senator,4.0
"When Trump announced in November that Bharara would, in fact, be kept on, it was not clear if he did so at Schumer’s behest or as a show of good will to the Minority Leader.",Schumer,4.0
"This article has been updated with new details, additional comment from Bharara and Schumer.",Schumer,4.0
I see why he was fired (1/2) pic.twitter.com/A4vIpUCX8R CNN’s Jake Tapper reported that Acting Deputy Attorney General Dana Boente had called Bharara Saturday to dismiss him.,(1/2) pic.twitter.com/A4vIpUCX8R CNN’s Jake Tapper,4.0
"Thus the beat in the February report, according to Cohn, is on the back of the recovery from the past eight years under President Barack Obama.",Cohn,6.0
"Oh, O.K., makes sense Were you worried that Trump, or someone on Team Trump, wouldn’t address the fact that, while running for president, he claimed the unemployment rate was “phony” and not to be trusted and something like almost half the country was out of work, but now we can apparently believe it?",Trump,2.0
"Oh, O.K., makes sense Were you worried that Trump, or someone on Team Trump, wouldn’t address the fact that, while running for president, he claimed the unemployment rate was “phony” and not to be trusted and something like almost half the country was out of work, but now we can apparently believe it?",he,2.0
"The question is, if the economy does slow, whether Mr. Trump will accept the legitimacy of weak reports as enthusiastically as he does good ones.",Mr. Trump,2.0
"“Trump inherited an economy from Barack Obama with the longest streak of private sector job growth in history,” he said in a statement.",Barack Obama,6.0
"“There’s nothing that I have been told by him that would leave me to believe that anything is different than it was prior,” Mr. Spicer said.",Mr. Spicer,4.0
"Senator Patrick Leahy, Democrat of Vermont, said he had “never seen anything so outlandish, outrageous or incomprehensible” as Mr. Trump’s claims.",Mr. Trump,2.0
And Mr. Spicer provided little evidence to back up Mr. Trump’s claim about Mr. Obama.,Mr. Trump,2.0
"If he lied back then, why couldn’t he be lying today?",he,2.0
"Secondly, Mr. Obama has ordered surveillance against American citizens.",Mr. Obama,2.0
"Mr. French argues, “The notion that Obama would never have an American subject to surveillance is absurd.”",Obama,2.0
"Referencing Trump's description of Obama as a ""bad (or sick) guy,"" Schiff said, ""If there is something bad or sick going on, it is the willingness of the nation's chief executive to make the most outlandish and destructive claims without providing a scintilla of evidence to support them.",Trump,2.0
"The Breitbart story, published Friday, has been circulating among Trump's senior staff, according to a White House official who described it as a useful catalogue of the Obama administration's activities.",Obama,4.0
"Trump leveled the charges in a flurry of tweets shortly after dawn, amid an avalanche of recent revelations about communications between Russian officials and some of his senior aides, including Attorney General Jeff Sessions.",Trump,2.0
Obama wasn't the only target of Trump's Twitter ire on Saturday morning.,Trump,2.0
He then appeared to discount the claim that he was a Trump-campaign “surrogate.”,He,2.0
It seems apparent that he was distancing himself from Franken’s insinuation about Trump surrogates colluding with Russians.,Trump,2.0
"But if we consider this matter not as a political dispute but a potential perjury prosecution, then the burden was on Franken, not Sessions, to be clearer.",Franken,2.0
"In those circumstances, it was up to Franken to clarify matters, by asking a follow-up along the lines of, “To be clear, I am asking you whether you’ve had any contact whatsoever with Russian officials during the campaign, whether as a Trump surrogate, in your capacity as a U.S. senator, or under any other circumstances.”",Trump,2.0
Mr. Sessions is the latest administration official to be caught between his words and the truth on Russia.,Russia,2.0
Mr. Sessions is the latest administration official to be caught between his words and the truth on Russia.,Mr. Sessions,2.0
Mr. Sessions’s recusal is only a first necessary step.,Mr. Sessions,2.0
"Stocky, smart and soft-spoken with a sense of humor, General McMaster, for all his war-making experience, has little background in navigating Washington politics, which could be a challenge for him in his new role with a fractious national security team to corral.",General McMaster,6.0
"Springare, who was briefly investigated for possible hate crime incitement based on his post, managed to elucidate what Trump only hinted at during a Florida campaign speech – somewhat opaquely.",Springare,2.0
"“For better or worse,” Horowitz said that Trump sometimes speaks “in shorthand hyperbole”.",Trump,2.0
Horowitz said that “the Swedish response” suggests “they are incapable or unwilling to see the reality of what is happening in their own country.”,Horowitz,4.0
An entire chapter is dedicated to this uranium deal in Peter Schweizer’s “Clinton Cash.”,Peter Schweizer,4.0
"In the book, Schweizer reveals ties between the Clinton Foundation and investors who stood to gain from a deal that required State Department approval.",Schweizer,6.0
“Nobody mentions that Hillary received the questions to the debates.”,Hillary,2.0
"That’s why, despite his argument that the press treated Flynn unfairly, Trump fired him.",Trump,2.0
"“There’s nothing that would conclude me that anything different has changed with respect to that time period,” Spicer said. .@PressSec Sean Spicer tells @jonkarl nobody on the Trump campaign had contact with Russia before the election https://t.co/LBw3Bd5Htk pic.twitter.com/S9H8fgFA2j But on Tuesday night, multiple news outlets reported that U.S. intelligence and law enforcement agencies had obtained phone records and intercepted calls that showed Trump associates and campaign aides repeatedly talking to Russian officials in the year before the election.",Spicer,4.0
Donald Trump: ‘Russian connection non-sense’ is cover for Clinton’s ‘many mistakes’,Russian,2.0
"Among those supposedly communicating with Russian nationals was former Trump campaign chairman Paul Manafort, the report said.",former Trump campaign chairman Paul Manafort,2.0
"Among those supposedly communicating with Russian nationals was former Trump campaign chairman Paul Manafort, the report said.",Russian,2.0
"A Trump administration official “stressed that Pence made his comments based on his conversation with Flynn,” The Post report said.",Pence,4.0
"“Either General Flynn lied to the administration or the administration lied to the American people,” said Mr. Engel, New York Democrat.","Mr. Engel, New York Democrat",4.0
"Flynn is a longtime Trump partisan, and Trump values loyalty greatly.",Flynn,2.0
He's been losing so....,He,2.0
Donald Trump: John McCain ‘should not be talking about the success or failure of a mission’,Donald Trump,4.0
Only emboldens the enemy!” the president tweeted Thursday.,the president,4.0
They worried that Mr. Sessions wouldn’t be strong enough in enforcing civil rights laws and that he would be too zealous in following immigration laws.,Mr. Sessions,2.0
"The veteran Alabama senator had been rejected for a federal judgeship more than three decades ago over accusations of racism as a prosecutor, which was an immediate focus in his latest confirmation fight.",The veteran Alabama senator,2.0
"Manchin, who threw Sessions a thumbs-up on Wednesday night as he headed to place his vote, added that he was confident that when he addressed his constituents, “I can explain my relationship with Jeff Sessions and I’m proud to vote for him.”",he,6.0
"In a letter at the time of Mr. Sessions’ earlier nomination, King had accused him of “a shabby attempt to intimidate and frighten elderly black voters.”",Mr. Sessions,2.0
"Jeff Sessions, one of her colleagues and Mr. Trump’s nominee to head the Justice Department.",her,4.0
"""Mrs. King's views and words ring true today,"" Warren said.",King,6.0
"Congress By ELANA SCHOR and BURGESS EVERETT “Mr. Sessions has used the awesome power of his office to chill the free exercise of the vote by black citizens in the district he now seeks to serve as a federal judge,” King wrote in her letter back then, which Warren read on the Senate floor Tuesday night.",Sessions,2.0
"Give them credit for this one: Democrats have fought hard to stop Betsy DeVos, Donald Trump’s blazingly unqualified pick for education secretary.",Betsy DeVos,2.0
"Tim Kaine cited the moment, during her hearing, when he asked DeVos if she would hold all schools that receive any taxpayer funding equally accountable, be they public, private, or charter, and she dodged the question repeatedly: ""But if you hold public schools accountable while you’re taking some of their money away and you give that money to private schools, and you don’t hold them accountable, you’re not promoting fair competition,"" he said.",DeVos,2.0
The last Post-ABC tracking poll had Hillary Clinton up by 3 points.,Clinton,4.0
“He should be scared that people aren’t going to stand for this.”,He,2.0
"Trump in the interview also touched on voter fraud and how it is ""a really bad situation.""",Trump,4.0
"When O’Reilly fired back, calling Putin a killer, Trump responded, ""There are a lot of killers.",Trump,2.0
"When O’Reilly fired back, calling Putin a killer, Trump responded, ""There are a lot of killers.",Putin,2.0
"Bill O'Reilly Calls Vladimir Putin A 'Killer', Donald Trump Says Americans Are Just As Bad",Vladimir Putin,2.0
"Bill O'Reilly Calls Vladimir Putin A 'Killer', Donald Trump Says Americans Are Just As Bad",Trump,2.0
"Speaking to Bill O’Reilly, Trump shrugged off the anchor’s characterization of Putin as a “killer,” noting that Americans are just as bad.",Trump,2.0
"Trump told Australian leader Malcolm Turnbull that the conversation was “the worst call by far” among talks with various world leaders that day and he ended the scheduled hour-long conversation after just 25 minutes, according to the Washington Post.",Trump,2.0
"Mr. Turnbull, speaking Thursday at a press briefing in Australia’s southern state of Victoria, refused to comment at length on the telephone call, or say whether it had ended sooner than expected.",Australia,4.0
Why Liberals Should Back Neil Gorsuch,Neil Gorsuch,6.0
"I have no doubt that if confirmed, Judge Gorsuch would help to restore confidence in the rule of law.",Judge Gorsuch,6.0
I am hard-pressed to think of one thing President Trump has done right in the last 11 days since his inauguration.,President Trump,2.0
"He seeks power, and he cares not for process.",He,2.0
"I myself have been deeply concerned with Trump’s authoritarian impulses — including his expressed disrespect for the First Amendment, due process, and private property.",Trump,2.0
"The night began when Trump, in a short White House speech, nominated Judge Gorsuch from the 10th Circuit Court of Appeals in Denver to the court.",Judge Gorsuch,6.0
"The night began when Trump, in a short White House speech, nominated Judge Gorsuch from the 10th Circuit Court of Appeals in Denver to the court.",Trump,4.0
"Gorsuch, despite a reportedly mild-mannered temperament, is known for his anti-choice and anti-LGBT stances, pro-employer rulings in labor disputes, anti-regulatory attitudes, dismissal of scientific expertise, and pro-police bias in brutality cases, according to statements from public interest groups issued after the announcement.",Gorsuch,2.0
"Democrats, meanwhile, hailed Ms. Yates as a principled defender of what she thought was right.",Ms. Yates,6.0
"The quick firing of Yates, as Trump brings his ""Apprentice"" skills to the White House with the most serious of matters, offers a powerful reminder to Democrats of why these appointments matter so much and the dangers that come from the passive approach we have seen thus far.",Yates,2.0
"Human rights, civil rights, and civil liberties supporters were bolstered by her defiance.",her,6.0
It was foolish of President Trump to leave officials such as Acting Attorney General Yates in place.,Yates,2.0
Yates never should have been in the position to undertake her grandstanding in the first place — but at least that particular error has now been corrected.,Yates,2.0
That is why President Trump was right to fire Acting Attorney General Sally Yates.,President Trump,6.0
That is why President Trump was right to fire Acting Attorney General Sally Yates.,Yates,2.0
Peña Nieto and other Mexican officials repeatedly condemned the idea of a border wall — one of Trump's signature promises and a rallying cry for his supporters — during last year's U.S. presidential campaign.,U.S.,4.0
The Mexican leader is under intense political pressure to figure out how to handle Mr. Trump.,Mr. Trump,2.0
"Marco Rubio, R-Fla., is publicly criticizing the same tax reform bill that he voted for.",he,2.0
"WASHINGTON \-- President Donald Trump is set to meet with congressional leaders from both parties to discuss his agenda, as he enters his first official week in the White House and works to begin delivering on his ambitious campaign promises.",WASHINGTON \-- President Donald Trump,6.0
> Sean Spicer is the new Baghdad Bob.,Sean Spicer,2.0
"On Saturday, President Donald Trump’s first full day in office, he gave a speech at CIA headquarters in which he lied about the size of the crowd at his inauguration and falsely claimed that he had never feuded with the U.S. intelligence community.",Donald Trump,2.0
"On Saturday, President Donald Trump’s first full day in office, he gave a speech at CIA headquarters in which he lied about the size of the crowd at his inauguration and falsely claimed that he had never feuded with the U.S. intelligence community.",the crowd,4.0
