sentence,gold,predicted,gold_rank,error_type,predicted_score,gold_score
"The next day, Trump will meet with leaders of the Gulf Cooperation Council, McMaster said.",McMaster,the Gulf Cooperation Council,3,OTHER,0.8269347135848015,0.7867289411564521
"In addition, Roger was a great patriot who never ceased fighting for his beliefs.""",Roger,Roger,1,CORRECT,0.8668999381066057,0.8668999381066057
"""A brilliant broadcaster, Roger played a huge role in shaping America's media over the last 30 years.",Roger,Roger,1,CORRECT,0.8589606578629572,0.8589606578629572
"He will be remembered by the many people on both sides of the camera he discovered, nurtured and promoted.""",He,He,1,CORRECT,0.8234585601509811,0.8234585601509811
"""At 21st Century Fox we will always be enormously grateful for the great business he built.",Fox,21st Century Fox,5,LARGER_SPAN,0.6344347593972004,0.42220208435630013
He founded Fox News in 1996 and built it into the nation's long-running No.,Fox,He,5,OTHER,0.8279253324099975,0.4318891859402219
"He wasn't perfect, but Roger Ailes was my friend & I loved him.",Roger Ailes,He,2,OTHER,0.8307232862253208,0.8238859061250717
"He wasn't perfect, but Roger Ailes was my friend & I loved him.",Roger,He,6,OTHER,0.8307232862253208,0.3719127771210666
He later worked on Vice President George H.W. Bush’s presidential campaign.,Bush,President George H.W. Bush,6,LARGER_SPAN,0.9707938225884195,0.5994510408827644
"He wasn't perfect, but Roger Ailes was my friend & I loved him.",He,He,1,CORRECT,0.8307232862253208,0.8307232862253208
"Not sure I would have been President w/o his great talent, loyal help.",his,President,2,OTHER,0.7623695528919368,0.41724319727261777
"“Special Counsel Mueller will have all appropriate resources to conduct a thorough and complete investigation,” Rosenstein said in the DOJ announcement.",Mueller,Rosenstein,4,NER_VS_SUBSPAN,0.645797894164688,0.24276090635052924
"That's why the announcement by Deputy Attorney General Rod Rosenstein came as a surprise to so many people — including the White House, which was reportedly given just 30 minutes’ warning before the announcement went public.",Deputy Attorney General Rod Rosenstein,That,4,OTHER,0.8747051632950987,0.44224779669781544
Yates: 'Flynn Was Compromised With Respect to the Russians',Flynn,Yates,2,OTHER,0.7612871794107783,0.7447135870339503
Yates: 'Flynn Was Compromised With Respect to the Russians',Yates,Yates,1,CORRECT,0.7612871794107783,0.7612871794107783
She said she did know Flynn had shared untrue information because of phone calls intercepted by the Obama administration.,Flynn,Flynn,1,CORRECT,0.8540395747615095,0.8540395747615095
WASHINGTON – Former Acting Attorney General Sally Yates testified Monday before a Senate subcommittee about her efforts to warn the Trump administration of misinformation put forth by former National Security Advisor Michael Flynn.,Trump,Sally,3,OTHER,0.8318622158462093,0.7069037971393517
Sally Yates speaks — and the strange tale of Michael Flynn begins to unwind a little,Flynn,Sally Yates,5,NER_VS_SUBSPAN,0.8353643971106649,0.34512267225584325
But one cannot help but wonder if Trump's lawyers might have reminded him that Flynn is shopping for an immunity deal and treating him disrespectfully might just loosen his tongue about things the president might not want him to say.,Trump,Trump,1,CORRECT,0.9210986247398368,0.9210986247398368
But one cannot help but wonder if Trump's lawyers might have reminded him that Flynn is shopping for an immunity deal and treating him disrespectfully might just loosen his tongue about things the president might not want him to say.,Flynn,Trump,2,OTHER,0.9210986247398368,0.8173079843192035
"But his margin for error on Obamacare is razor-thin; Republicans can afford no more than two defections, meaning that some combination of staunch conservatives like Paul, Cruz, and Lee will have to endorse the same bill as Collins, Murkowski, and Heller, who is up for reelection in 2018 in a state Hillary Clinton carried in November.",his,"Cruz, and Lee will have to endorse the same bill as Collins",11,OTHER,0.9995349119945715,0.377579660271477
"Winfrey then referenced Recy Taylor, a black woman who was abducted in 1944 in Alabama and raped by six men.",Winfrey,Recy Taylor,2,OTHER,0.7698893913154728,0.6586613626376169
"Winfrey concluded, as the audience gave her a standing ovation.",Winfrey,"Winfrey concluded, as the audience gave her a standing ovation",2,LARGER_SPAN,0.9985750068687894,0.8723119210674901
'Oprah 2020': Winfrey's longtime boyfriend says star 'would absolutely' run for president,Winfrey,Winfrey,1,CORRECT,0.9124905600749157,0.9124905600749157
"Oprah Winfrey and partner Stedman Graham arrive at the 2015 Vanity Fair Oscar Party in Beverly Hills, California February 22, 2015.",Winfrey,"Stedman Graham arrive at the 2015 Vanity Fair Oscar Party in Beverly Hills, California February 22",16,OTHER,0.9999705526318856,0.25276236288085163
"White House senior policy adviser Stephen Miller ripped into former White House chief strategist Steve Bannon and the credibility of the the now-released tell-all book, Fire and Fury: Inside the Trump White House, noting Bannon sounds like an “angry, vindictive person” in the book.",White House senior policy adviser Stephen Miller,"Steve Bannon and the credibility of the the now-released tell-all book, Fire and Fury: Inside the Trump White House",3,OTHER,0.9999895665910146,0.8964706038967778
"Handel was the top GOP vote-getter at 20 percent, finishing comfortably ahead of technology executive Bob Gray, who received 11 percent of the vote, and former State Senators Judson Hill and Dan Moody, who each received 9 percent of the vote.",Handel,"Judson Hill and Dan Moody, who each received 9 percent of the vote",9,OTHER,0.9997706103328203,0.6712857812811757
"Appearing on CNN, Ossoff admitted that he doesn't live in the 6th district as the lives with his girlfriend of 12 years (!) while she goes to medical school at Emory.",Ossoff,Ossoff,1,CORRECT,0.7421065465269101,0.7421065465269101
"Appearing on CNN, Ossoff admitted that he doesn't live in the 6th district as the lives with his girlfriend of 12 years (!) while she goes to medical school at Emory.",CNN,Ossoff,4,OTHER,0.7421065465269101,0.3795667462314556
"Trump's ability to bring new white, working-class voters into the GOP fold actually allowed him to compete and win in more territory than Republicans are accustomed to (think Pennsylvania, Michigan and Wisconsin).",Trump,Trump,1,CORRECT,0.9142787536621947,0.9142787536621947
"Trump Senior Policy Adviser Stephen Miller on Wolff book: ""The book is best understood as a work of very poorly written fiction",Wolff,Trump Senior Policy Adviser Stephen Miller,7,OTHER,0.8788958116130364,0.31453856918742434
"[Inside the manhunt for Facebook murder suspect Steve Stephens] Pennsylvania State Police said they chased him from the McDonald’s for about two miles, finally ramming his car.",Stephens,McDonald,12,NER_VS_SUBSPAN,0.77823225645954,0.19072202926771387
"[Inside the manhunt for Facebook murder suspect Steve Stephens] Pennsylvania State Police said they chased him from the McDonald’s for about two miles, finally ramming his car.",Steve,McDonald,7,NER_VS_SUBSPAN,0.77823225645954,0.29731018596231007
"By comparing the responses between the two groups, Gervais and Najle could then estimate how many people don’t believe in God.",Gervais,Najle,3,OTHER,0.8444102571614203,0.5575378319889341
"(Overall, kudos to Gervais and Najle for being forthright about their curious finding.",Najle,Najle,1,CORRECT,0.8645245601469906,0.8645245601469906
"(Overall, kudos to Gervais and Najle for being forthright about their curious finding.",Gervais,Najle,2,OTHER,0.8645245601469906,0.6003819010589867
"Presented with this incriminating evidence, Blair confessed to being a Christian, but was quick to aver that he was a private one and thus not liable to be consigned to a mental hospital.",Blair,Blair,1,CORRECT,0.8366761545981983,0.8366761545981983
"Yet for Christians, the humanity of Holy Week makes our faith overlap with the world around us, just as after years of instructing his followers to stay quiet (at least in Mark) Jesus made his triumphant entrance into Jerusalem.",Jesus,Mark,2,OTHER,0.8079435015815261,0.7728538450163582
Sean Spicer Under Fire After Falsely Claims Nazis Never Used Poison Gas,Spicer,Sean Spicer,10,LARGER_SPAN,0.847799617309527,0.3234264454875087
"Hours later, Spicer apologized, although he made a number of mistakes during his apology, including mispronouncing Syrian President Bashar al-Assad’s name.",Spicer,"Spicer apologized, although he made a number of mistakes during his apology",2,LARGER_SPAN,0.9975387109087582,0.8248786892685533
"Press Secretary Sean Spicer: “You look, we didn’t use chemical weapons in World War II. You know, you had a—you know, someone as despicable as Hitler, who didn’t even sink to the—to using chemical weapons.",Hitler,"Sean Spicer: “You look, we didn’t use chemical weapons in World War II",4,OTHER,0.9995516023849533,0.7617824138763336
White House Press Secretary Sean Spicer said Wednesday he “let the president down” comparing Adolf Hitler to Syrian leader Bashar Assad and Mr. Assad’s actions against his people.,the president,Assad,27,OTHER,0.9031356879188731,0.11079063186609936
"Mr. Spicer also downplayed reports of a growing feud between Steve Bannon, the president’s chief strategist, and other members of the Trump administration.",Trump,"Spicer also downplayed reports of a growing feud between Steve Bannon, the president’s chief strategist",3,OTHER,0.997853866252387,0.8147077928433688
"“In that regard, we are hopeful that we can work with Russia and use their influence to achieve areas of stabilization throughout Syria and create the conditions for a political process through Geneva in which we can engage all of the parties on the way forward, and it is through that political process that we believe the Syrian people will lawfully be able to decide the fate of Bashar al-Assad,” he added.",Russia,Russia,1,CORRECT,0.5449739143197242,0.5449739143197242
"“This idea that we’re going to get rid of ISIS and then we’ll hopefully use Assad and others to come up with a solution, it’s not going to work,” Rubio said.",Assad,"Assad and others to come up with a solution, it’s not going to work",3,LARGER_SPAN,0.9999759085124644,0.8320186901763655
"He is a graduate of Columbia, Harvard and Oxford, served as a Supreme Court law clerk and worked as a lawyer at a prestigious Washington law firm and at the Justice Department.",He,He,1,CORRECT,0.8192743904730109,0.8192743904730109
"But neither side harbored any doubts, based on the judge’s opinions, other writings and the president who nominated him, that Judge Gorsuch would be a reliable conservative committed to following the original understanding of those who drafted and ratified the Constitution.",Judge Gorsuch,Gorsuch,2,SMALLER_SPAN,0.7130795879744604,0.5191943205916048
Four reasons why Neil Gorsuch may be even better on the Supreme Court than Antonin Scalia,Gorsuch,Neil Gorsuch,7,LARGER_SPAN,0.7582481563988417,0.27154045736046123
Justice Gorsuch—like Justice Scalia before him—rejects the “living document” view.,Gorsuch,Scalia,8,NER_VS_SUBSPAN,0.846282525540235,0.15745234866881858
"Here are four reasons why American citizens—especially Evangelical conservatives—should consider Gorsuch’s confirmation a great victory and why he might be better even than Scalia, whose place on the bench he would take.",Gorsuch,"Scalia, whose place on the bench he would take",2,OTHER,0.983815861833452,0.8072876973011334
He will defend religious liberty.,He,He,1,CORRECT,0.845936257231755,0.845936257231755
"This man doesn’t mind supporting Saudi Arabia, the world’s most embarrassing country, in its slaughter of Yemen.",This man,This man,1,CORRECT,0.7202509603507694,0.7202509603507694
"This man doesn’t mind supporting Saudi Arabia, the world’s most embarrassing country, in its slaughter of Yemen.",Saudi Arabia,This man,3,OTHER,0.7202509603507694,0.4712804760314941
"In Lebanon, thank you to Yazan al-Saadi, Syrian-Canadian writer in Beirut; Alia Malek, here in New York, author of The Home That Was Our Country: A Memoir of Syria; Phyllis Bennis, fellow at the Institute for Policy Studies; and Medea Benjamin, co-founder of CodePink.",Yazan al-Saadi,The Home That Was Our Country,9,OTHER,0.9908507416176165,0.5819361607228877
"I also reached out to Sarah Binder, a professor of political science at George Washington University.","Sarah Binder, a professor of political science at George Washington University","Sarah Binder, a professor of political science at George Washington University",1,CORRECT,0.9838339101618655,0.9838339101618655
Here is his floor speech running through the series of events and actions that led the Senate to this point.,his,Senate,3,OTHER,0.7447345439613471,0.39582463720408334
"He correctly lays the blame squarely on the shoulders of Democrats and announces his backing of the nuclear 'Reid Rule' in retaliation: Before the deed is done, I'll leave you with one final insulting lie from Chuck Schumer, whose party has acted in bad faith on these questions for many years: Schumer: My colleagues came into this with an open mind about confirming Gorsuch.",Schumer,He,3,OTHER,0.8157652106259072,0.5714400072742726
"He correctly lays the blame squarely on the shoulders of Democrats and announces his backing of the nuclear 'Reid Rule' in retaliation: Before the deed is done, I'll leave you with one final insulting lie from Chuck Schumer, whose party has acted in bad faith on these questions for many years: Schumer: My colleagues came into this with an open mind about confirming Gorsuch.",He,He,1,CORRECT,0.8157652106259072,0.8157652106259072
“Devin Nunes has earned my trust over many years for his integrity and dedication to the critical work that the intelligence community does to keep America safe.,Devin Nunes,Devin Nunes,1,CORRECT,0.6150949183072995,0.6150949183072995
"The Susan Rice situation is murky, but one thing that’s crystal clear is that she’s changing her story.",Susan Rice,The Susan Rice situation,2,LARGER_SPAN,0.8899200313205251,0.8062339465018522
"Anchor Don Lemon told viewers “we will not insult your intelligence” by suggesting the Trump team was spied on illegally, “nor will we aid and abet the people who are trying to misinform you, the American people, by creating a diversion.”",we,Don Lemon,6,OTHER,0.8008304465458346,0.36556061034716586
"When Rice was asked about this by PBS’s Judy Woodruff a couple of weeks ago, the former national security adviser said she knew nothing about it and was just learning about it from news reports.",Rice,Rice,1,CORRECT,0.8720232803890403,0.8720232803890403
"When Rice was asked about this by PBS’s Judy Woodruff a couple of weeks ago, the former national security adviser said she knew nothing about it and was just learning about it from news reports.",it,Rice,4,OTHER,0.8720232803890403,0.37114501407710493
"Now, conservatives are accusing Rice of actively undermining him — by misusing her authority to sabotage Flynn, who was out of the job in less than a month.",Rice,"Rice of actively undermining him — by misusing her authority to sabotage Flynn, who was out of the job in less than a month",3,LARGER_SPAN,0.9999999995625908,0.8679642024026253
"Rand Paul called for Rice to testify under oath, speculating that Obama might have ordered her to unmask Trump officials for unspecified nefarious purposes.",Obama,Rice,3,OTHER,0.8706275239624104,0.8352284500059046
"So who’s right — Trump and his allies, or Rice?",Rice,"Trump and his allies, or Rice",3,LARGER_SPAN,0.9897161274350237,0.8797814572151517
"In March, for example, former Obama aide Evelyn Farkas said in an MSNBC interview that team Obama attempted to preserve as much information on Trump-Russia ties as they could before leaving office, as they were worried Trump would delete them.",former Obama aide Evelyn Farkas,Obama,4,SMALLER_SPAN,0.8364656318025145,0.6935698491930801
The Rice reports sound even more troubling than the Farkas stuff — Obama officials manipulating classified information!,Farkas,Rice,6,OTHER,0.8783012012367478,0.23540340804678542
"Jeff Merkley (D-OR) headed to the Senate floor to start talking about why he was opposed to the nomination of Neil Gorsuch to the Supreme Court ""for as long as I am able.""",Neil Gorsuch,Jeff Merkley,3,OTHER,0.7640802766722603,0.6559136101214854
"He has enough stamina, and enough material, that he's still going strong more than 13 hours later.",He,He,1,CORRECT,0.8244276302758472,0.8244276302758472
McConnell: We Have the Votes to Bust Filibuster on Gorsuch for Supreme Court,McConnell,McConnell,1,CORRECT,0.8212964778665441,0.8212964778665441
"Gorsuch now counts 55 supporters in the Senate: the 52 Republicans including McConnell, along with three moderate Democrats from states that President Donald Trump won last November — Joe Manchin of West Virginia, Heidi Heitkamp of North Dakota and Joe Donnelly of Indiana.",Gorsuch,"Donald Trump won last November — Joe Manchin of West Virginia, Heidi Heitkamp of North Dakota and Joe Donnelly of Indiana",6,OTHER,0.9999991781935619,0.623605579730068
He said it was “too early to say” what caused the blast but that it could be “criminal or terrorist”.,He,He,1,CORRECT,0.8240858964163006,0.8240858964163006
Some argue that Flynn's discussion of sanctions with Sergey Kislyak before Trump's inauguration may have broken an old law that prohibits unauthorized citizens from negotiating with foreign powers in disputes with the United States.,Trump,Flynn,2,OTHER,0.9247666454481948,0.8666995966007385
"More from the Journal: It wasn’t clear if Mr. Flynn had offered to talk about specific aspects of his time working for Mr. Trump, but the fact that he was seeking immunity suggested Mr. Flynn feels he may be in legal jeopardy following his brief stint as the national security adviser, one official said… Mr. Flynn’s communications with the Russian ambassador, Sergei Kislyak, have been scrutinized by the FBI, which is examining whether Trump campaign personnel colluded with Russian officials who are alleged to have interfered with the presidential election, according to current and former U.S. officials.",Mr. Flynn,Flynn,5,SMALLER_SPAN,0.8175117276248391,0.7364840852905725
Senate Minority Leader Chuck Schumer called on House Speaker Paul Ryan to replace Nunes after news broke that the California House Republican visited the White House to view sensitive material related to Obama era surveillance of the Trump transition team one day before he discussed the topic with reporters last week.,Nunes,House Speaker Paul Ryan,7,OTHER,0.8016223861619456,0.5869518931201357
"Nunes, whose committee is investigating Russia’s interference in the 2016 presidential election, told reporters last Wednesday that he had information that showed Trump and his aides may have been swept up in surveillance of foreign government officials by US spy agencies.",he,Trump,5,OTHER,0.7708502561965349,0.3590940557070455
He was criticized for taking the unusual step of bypassing members of his House committee before briefing Trump on the information and for the timing of the announcement.,He,He,1,CORRECT,0.8195053816852578,0.8195053816852578
He was criticized for taking the unusual step of bypassing members of his House committee before briefing Trump on the information and for the timing of the announcement.,his House committee,He,5,OTHER,0.8195053816852578,0.24395282404197688
"Nunes met the source on White House grounds in order to view sensitive information in a “secure location,” Jack Langer, Nunes’ communications director, said Monday in a statement, CNN first reported.",Nunes,Nunes,1,CORRECT,0.7166132437960682,0.7166132437960682
"We’ve got a very, very bold and robust agenda, and the president promised to the American people we’re going to roll on,” he said.",We,We,1,CORRECT,0.9136030482225044,0.9136030482225044
"May underscored that the attack targeted ""free people everywhere,"" and she said she had a response: ""You will not defeat us.""",the attack,You,5,OTHER,0.5005852124270926,0.21438769210188785
"He had a range of previous convictions for assaults, including grievous bodily harm, possession of offensive weapons and public order offenses dating from November 1983 to December 2003, police said.",He,He,1,CORRECT,0.8185163494373615,0.8185163494373615
"""He had something in his hand, it looked like a stick of some sort, and he was challenged by a couple of policemen in yellow jackets,"" Letts told the BBC.",Letts,Letts,1,CORRECT,0.8147969500450397,0.8147969500450397
"“Let’s have open debates, not threats,” he tweeted.",he,he,1,CORRECT,0.5097206195014722,0.5097206195014722
Some even thought MSNBC host Rachel Maddow’s apparent scoop on Trump’s leaked 2005 tax return made him look good.,Rachel Maddow,Trump,9,OTHER,0.8139281883355763,0.385980111113151
"Donald Trump Jr. seized on the report minutes after the show ended, tweeting, “Thank you Rachel Maddow for proving to your #Trump hating followers how successful @realDonaldTrump is $ that he paid $44mm in taxes!”",Rachel Maddow,"Donald Trump Jr. seized on the report minutes after the show ended, tweeting",4,OTHER,0.9995363374417311,0.6014449726738822
"The ""Legal Insurrection"" website mocked Maddow with the headline ""Rachel Maddow's career committed suicide live on national TV tonight.""",Maddow,Maddow,1,CORRECT,0.6086535820338108,0.6086535820338108
"John McCain to either provide evidence of President Trump’s wiretapping claims or retract the allegation, saying the White House will wait until congressional committees release their own findings.",Trump,"John McCain to either provide evidence of President Trump’s wiretapping claims or retract the allegation, saying the White House will wait until congressional committees release their own findings",3,LARGER_SPAN,0.9999995565485807,0.9194693629262964
"On NBC’s “Today,” Conway repeatedly tried to move away from the subject, when asked why Trump continues to make unfounded claims and spread conspiracy theories, such as his infamous suggestion that Obama was not born in the United States.",Trump,Trump,1,CORRECT,0.8127904533302808,0.8127904533302808
Now-fired Preet Bharara boasts of 'absolute independence',Bharara,Preet Bharara,4,LARGER_SPAN,0.7888915822958593,0.3147278045970036
"Several hours later, it was learned President Donald Trump had reached out through a secretary on his staff to Bharara on Thursday but the two men never spoke.",Bharara,Bharara,1,CORRECT,0.7585061336984454,0.7585061336984454
Bharara is charged with overseeing prosecutions against Wall Street and has brought down multiple high profile New York elected officials on corruption charges while in office.,Bharara,Bharara,1,CORRECT,0.7639140568084786,0.7639140568084786
And it is no secret that the senator wanted him to remain in his post as U.S. Attorney during the Trump administration.,the senator,Trump,10,OTHER,0.8401175014062292,0.18759375179716198
"When Trump announced in November that Bharara would, in fact, be kept on, it was not clear if he did so at Schumer’s behest or as a show of good will to the Minority Leader.",Schumer,"Trump announced in November that Bharara would, in fact",2,OTHER,0.9675736980597228,0.875714478392459
"This article has been updated with new details, additional comment from Bharara and Schumer.",Schumer,Bharara,2,OTHER,0.8121946312117548,0.7585755848425574
"Thus the beat in the February report, according to Cohn, is on the back of the recovery from the past eight years under President Barack Obama.",Cohn,Cohn,1,CORRECT,0.8009015437931152,0.8009015437931152
"Oh, O.K., makes sense Were you worried that Trump, or someone on Team Trump, wouldn’t address the fact that, while running for president, he claimed the unemployment rate was “phony” and not to be trusted and something like almost half the country was out of work, but now we can apparently believe it?",Trump,"O.K., makes sense Were you worried that Trump",2,LARGER_SPAN,0.9419141334364685,0.7492141712470941
"Oh, O.K., makes sense Were you worried that Trump, or someone on Team Trump, wouldn’t address the fact that, while running for president, he claimed the unemployment rate was “phony” and not to be trusted and something like almost half the country was out of work, but now we can apparently believe it?",he,"O.K., makes sense Were you worried that Trump",7,OTHER,0.9419141334364685,0.35055895853213526
"The question is, if the economy does slow, whether Mr. Trump will accept the legitimacy of weak reports as enthusiastically as he does good ones.",Mr. Trump,Trump,2,SMALLER_SPAN,0.8409080512065629,0.7803928853971608
"“Trump inherited an economy from Barack Obama with the longest streak of private sector job growth in history,” he said in a statement.",Barack Obama,"Barack Obama with the longest streak of private sector job growth in history,” he said in a statement",2,LARGER_SPAN,0.9999987852711455,0.7137698525200645
"“There’s nothing that I have been told by him that would leave me to believe that anything is different than it was prior,” Mr. Spicer said.",Mr. Spicer,Spicer,2,SMALLER_SPAN,0.7944618056530746,0.7228203651912739
"Senator Patrick Leahy, Democrat of Vermont, said he had “never seen anything so outlandish, outrageous or incomprehensible” as Mr. Trump’s claims.",Mr. Trump,Trump,2,SMALLER_SPAN,0.9124383238706965,0.8439815236881395
And Mr. Spicer provided little evidence to back up Mr. Trump’s claim about Mr. Obama.,Mr. Trump,Trump,2,SMALLER_SPAN,0.9358774130095716,0.8904167043003055
"If he lied back then, why couldn’t he be lying today?",he,he,1,CORRECT,0.5032582848161753,0.5032582848161753
"Secondly, Mr. Obama has ordered surveillance against American citizens.",Mr. Obama,Obama,2,SMALLER_SPAN,0.8720541475760234,0.8354112539127323
"Mr. French argues, “The notion that Obama would never have an American subject to surveillance is absurd.”",Obama,Obama,1,CORRECT,0.8559857811118613,0.8559857811118613
"Referencing Trump's description of Obama as a ""bad (or sick) guy,"" Schiff said, ""If there is something bad or sick going on, it is the willingness of the nation's chief executive to make the most outlandish and destructive claims without providing a scintilla of evidence to support them.",Trump,"Obama as a ""bad (or sick) guy,"" Schiff said",5,OTHER,0.994466725452538,0.5012099496428999
"The Breitbart story, published Friday, has been circulating among Trump's senior staff, according to a White House official who described it as a useful catalogue of the Obama administration's activities.",Obama,Trump,3,OTHER,0.8723802659965116,0.7835305251661483
"Trump leveled the charges in a flurry of tweets shortly after dawn, amid an avalanche of recent revelations about communications between Russian officials and some of his senior aides, including Attorney General Jeff Sessions.",Trump,Trump,1,CORRECT,0.8220683122850122,0.8220683122850122
Obama wasn't the only target of Trump's Twitter ire on Saturday morning.,Trump,Trump,1,CORRECT,0.9074510472823965,0.9074510472823965
