sentence_id,sentence,target_text,role,confidence,embedded_entities,resolved_mentions,sentiment_label
s0080,"He correctly lays the blame squarely on the shoulders of Democrats and announces his backing of the nuclear 'Reid Rule' in retaliation: Before the deed is done, I'll leave you with one final insulting lie from Chuck Schumer, whose party has acted in bad faith on these questions for many years: Schumer: My colleagues came into this with an open mind about confirming Gorsuch.",his backing of the nuclear ' Reid Rule ',object,high,,,
s0231,"And so, when Syrian strongman Bashar al-Assad massacred up to 400,000 people by dropping barrel bombs on civilian neighborhoods, shelling hospitals, and imposing sieges of cities to starve out the inhabitants, the Obama administration stood very, very idly by.",sieges of cities,object,high,,,
s0270,"And when reports surfaced about Mr. Giuliani’s foreign business entanglements and highly compensated speechmaking, Mr. Trump grew even warier.",Mr. Trump,subject,medium,Trump,,
s0390,"However, he has endorsed Mr. Trump’s proposals to cut taxes and reduce federal regulations, and he has criticized Mrs. Clinton’s tax plan for increasing a variety of taxes.",federal regulations,object,high,,,
s0238,"“Mick Mulvaney is the absolute right choice,” said House Speaker Paul D. Ryan.",House Speaker Paul D. Ryan,subject,high,House; Paul D. Ryan,,
s0046,But one cannot help but wonder if Trump's lawyers might have reminded him that Flynn is shopping for an immunity deal and treating him disrespectfully might just loosen his tongue about things the president might not want him to say.,the president,subject,medium,,,
s0143,"“For better or worse,” Horowitz said that Trump sometimes speaks “in shorthand hyperbole”.",Horowitz,subject,high,,Horowitz,
s0102,"Nunes met the source on White House grounds in order to view sensitive information in a “secure location,” Jack Langer, Nunes’ communications director, said Monday in a statement, CNN first reported.",CNN,subject,high,,CNN,
s0100,"Nunes, whose committee is investigating Russia’s interference in the 2016 presidential election, told reporters last Wednesday that he had information that showed Trump and his aides may have been swept up in surveillance of foreign government officials by US spy agencies.",Russia’s interference in the 2016 presidential election,object,medium,Russia; US,,
s0051,"Oprah Winfrey and partner Stedman Graham arrive at the 2015 Vanity Fair Oscar Party in Beverly Hills, California February 22, 2015.",Oprah Winfrey,entity,low,,Oprah Winfrey,
s0015,"(Reuters/Mike Segar) Kushner “has been incredibly successful, in both business and now politics.",( Reuters / Mike Segar ) Kushner,subject,high,Kushner,,
